"","image.name","spot.coordinates","no.of.nuclei"
"365","Seurat","X89x29",11
"366","Seurat","X84x46",13
"367","Seurat","X76x40",10
"368","Seurat","X95x49",12
"369","Seurat","X99x45",12
"370","Seurat","X75x47",12
"371","Seurat","X74x28",15
"372","Seurat","X87x25",9
"373","Seurat","X79x33",12
"374","Seurat","X74x32",13
"375","Seurat","X88x40",13
"376","Seurat","X77x27",6
"377","Seurat","X77x47",12
"378","Seurat","X99x29",9
"379","Seurat","X98x44",16
"380","Seurat","X87x49",15
"381","Seurat","X95x47",15
"382","Seurat","X94x34",10
"383","Seurat","X79x41",15
"384","Seurat","X98x40",11
"385","Seurat","X80x32",15
"386","Seurat","X91x21",11
"387","Seurat","X93x45",12
"388","Seurat","X99x43",16
"389","Seurat","X96x32",15
"390","Seurat","X71x39",3
"391","Seurat","X98x34",15
"392","Seurat","X83x35",17
"393","Seurat","X101x35",15
"394","Seurat","X95x37",14
"395","Seurat","X91x41",17
"396","Seurat","X84x30",17
"397","Seurat","X74x24",12
"398","Seurat","X90x40",12
"399","Seurat","X85x35",13
"400","Seurat","X81x29",9
"401","Seurat","X87x21",8
"402","Seurat","X75x45",11
"403","Seurat","X76x42",11
"404","Seurat","X95x45",8
"405","Seurat","X73x37",13
"406","Seurat","X86x22",8
"407","Seurat","X76x28",9
"408","Seurat","X89x47",14
"409","Seurat","X100x48",13
"410","Seurat","X86x34",10
"411","Seurat","X79x29",14
"412","Seurat","X93x43",14
"413","Seurat","X73x21",11
"414","Seurat","X87x29",18
"415","Seurat","X86x44",12
"416","Seurat","X82x24",15
"417","Seurat","X95x31",11
"418","Seurat","X101x43",16
"419","Seurat","X96x26",14
"420","Seurat","X93x33",12
"421","Seurat","X78x48",17
"422","Seurat","X78x34",13
"423","Seurat","X80x48",15
"424","Seurat","X86x46",12
"425","Seurat","X98x22",11
"426","Seurat","X94x38",11
"427","Seurat","X91x47",16
"428","Seurat","X74x38",16
"429","Seurat","X82x38",11
"430","Seurat","X75x35",16
"431","Seurat","X86x38",12
"432","Seurat","X85x47",11
"433","Seurat","X95x23",11
"434","Seurat","X101x21",13
"435","Seurat","X87x45",10
"436","Seurat","X72x36",13
"437","Seurat","X90x34",11
"438","Seurat","X80x40",10
"439","Seurat","X101x49",15
"440","Seurat","X79x21",10
"441","Seurat","X76x34",16
"442","Seurat","X97x39",15
"443","Seurat","X99x47",12
"444","Seurat","X78x24",16
"445","Seurat","X101x41",14
"446","Seurat","X90x24",7
"447","Seurat","X72x22",9
"448","Seurat","X76x30",13
"449","Seurat","X81x27",8
"450","Seurat","X77x31",14
